1	157
2	127
3	174
4	177
5	162
6	149
7	157
8	152
9	160
10	160
11	152
12	137
13	141
14	141
15	148
16	120
17	173
18	129
19	156
20	140
21	156
22	133
23	170
24	177
25	140
26	144
27	148
28	152
29	166
30	185
31	182
32	189
33	190
34	193
35	189
36	193
37	232
38	166
39	224
40	203
41	228
42	231
43	199
44	210
45	182
46	164
47	120
48	149
49	136
50	125
51	157
52	136
53	137
54	133
55	152
56	156
57	174
58	189
59	169
60	164
61	207
62	222
63	194
64	156
65	202
66	182
67	181
68	174
69	129
70	170
71	123
72	157
73	132
74	148
75	140
76	149
77	123
78	112
79	107
80	108
81	116
82	116
83	125
84	141
85	120
86	137
87	169
88	133
89	132
90	156
91	145
92	125
93	162
94	127
95	99
96	100
97	120
98	120
99	99
100	100
101	115
102	162
103	141
104	162
105	164
106	136
107	129
108	157
109	108
110	107
111	103
112	108
113	95
114	96
115	112
116	115
117	140
118	145
119	111
120	96
121	108
122	148
123	76
124	72
125	86
126	132
127	141
128	140
129	107
130	157
131	156
132	132
133	116
134	136
135	153
136	164
137	111
138	120
139	132
140	170
141	149
142	123
143	169
144	140
145	136
146	125
147	116
148	137
149	144
150	116
151	136
152	136
153	156
154	115
155	145
156	136
157	133
158	152
159	162
160	162
161	127
162	136
163	153
164	125
